D0_SAG_1,D0_SAG_2,D7_SAG_1,D7_SAG_2,target_id
1.219990375,1.154361072,10.4778236,10.33333717,Rfx8
296.8703274,258.5858404,501.8898563,418.7364644,Rfxank
236.0640581,210.4243714,213.415492,216.4561358,Rfxap
298.0455821,266.2179425,167.8072068,121.3890549,Rgcc
1032.6653,957.6748488,1042.827166,977.8202189,Rgl1
278.0589089,298.0310739,326.8544339,327.3439691,Rgl2
83.68932028,101.6107898,84.82632246,53.20963011,Rgl3
372.9613451,348.7953375,2666.974881,2446.423337,Rgma
526.7100614,526.8896779,1233.38297,1102.001507,Rgmb
0,0,1.048795043,2.111113999,Rgn
340.7767701,346.0333073,365.750252,399.4108628,Rgp1
0.177020119,0.167971169,0,0,Rgr
12.06771554,1.4031072,87.75697889,100.3387249,Rgs1
98.49290841,113.1221904,238.9919784,264.2799359,Rgs10
19.97287043,38.21346449,21.55481677,29.24320124,Rgs11
626.9950185,686.7068705,324.7041665,344.2410537,Rgs12
0,0,0,0,Rgs13
5.999270633,4.847047495,81.90022707,124.1406121,Rgs14
1143.322397,1144.367406,267.4427359,236.4447678,Rgs16
1571.913646,1497.233427,262.3156921,296.5357788,Rgs17
1.954397259,0,58.7325224,93.94457293,Rgs18
1035.486768,934.5099912,1103.785314,1150.55284,Rgs19
16.6145478,17.09880416,160.155452,189.1270934,Rgs2
4.285245908,6.504070248,2.121818244,2.599918522,Rgs20
1.720743885,0.65256419,3.688779087,2.217457381,Rgs21
1.017060089,1.77336646,2.182380832,0.982843499,Rgs22
2020.548064,1825.349408,5009.731134,6018.079634,Rgs3
6415.903834,6523.863735,1172.002539,1288.170897,Rgs4
150.138619,162.0107409,46.25618893,49.65442674,Rgs5
4.449292943,2.736888372,4.544268818,0.516846906,Rgs6
10.75637143,19.7597249,27.09675247,26.27343591,Rgs7
78.62482605,71.29126151,121.6867142,122.4674498,Rgs7bp
1.127809385,1.463452226,3.971221401,4.157131697,Rgs8
17.98247588,19.87803308,20.29944814,12.7891132,Rgs9
14.04088017,11.4520552,9.537249729,9.543385891,Rgs9bp
7.450368169,9.797491893,11.05573271,20.49817904,Rgsl1
13.094408,14.4580355,11.69417575,12.77346447,Rhag
2661.052327,2683.908557,959.5339967,877.6932937,Rhbdd1
211.1942927,172.1071694,152.9582819,161.738417,Rhbdd2
128.0940007,131.6013268,204.4022321,184.6226318,Rhbdd3
519.5181912,491.5724489,641.021228,566.1744378,Rhbdf1
522.2180515,482.2133699,334.225157,375.1561831,Rhbdf2
46.67294138,54.21559923,177.8369993,174.5584896,Rhbdl1
27.03589541,18.71526563,19.78982622,20.12767586,Rhbdl2
11.86867332,11.88608535,21.97713579,20.06095277,Rhbdl3
0,0,0,0,Rhbg
0,0,0.104421444,1.071779515,Rhcg
37.17628613,33.92437969,63.52069639,73.34112437,Rhd
5752.157702,5937.22275,4377.979997,4424.860956,Rheb
65.44012821,79.15073487,55.74372299,56.82079666,Rhebl1
612.8638561,644.1452861,571.7962175,551.3530964,Rhno1
4.661501012,4.139780877,4.941779614,3.907319446,Rho
6931.212702,6806.745986,6913.396131,7192.894872,Rhoa
0,0,0,0,Rhoay-ps1
0,0,0,0,Rhoay-ps2
0,0,0,0,Rhoay-ps3
12305.86234,11834.68166,7728.57067,7629.565991,Rhob
28.37028677,38.89399922,81.97104329,69.37135562,Rhobtb1
488.3620491,479.4977397,1027.787486,1077.508123,Rhobtb2
600.7947104,676.3921388,484.1582263,482.8359783,Rhobtb3
4077.410029,3925.717799,4745.008964,4700.571744,Rhoc
1086.89021,1110.685943,1201.99203,1275.697585,Rhod
125.7597405,272.0386864,372.123913,372.7785752,Rhof
1845.183577,1674.263486,2130.261417,2330.115578,Rhog
4.098883282,9.173444818,25.06231576,52.25071925,Rhoh
2881.412313,2548.423944,4372.78267,3175.479205,Rhoj
2825.198412,2796.961529,2738.477995,2528.101096,Rhoq
2486.906974,2547.04918,1800.348736,1911.606575,Rhot1
186.7432521,194.0107673,179.0108135,181.7577448,Rhot2
607.1889064,623.8949818,370.9729437,286.1834263,Rhou
2.931595889,5.546207136,0,7.388898995,Rhov
0,0,0,0,Rhox1
0,0,0,0,Rhox10
0,0,0,0,Rhox11
0,0,0,0,Rhox11-ps1
0,0,0,0,Rhox11-ps2
0,0,0,0,Rhox11-ps3
