ID,D0SAG1,D0SAG2,D7SAG1,D7SAG2
mmu-miR-669c-3p,4,7,9,5
mmu-miR-669b-5p,191,213,291,166
mmu-miR-669b-3p,16,23,26,23
mmu-miR-669a-5p,251,542,857,403
mmu-miR-669a-3p,939,1545,1868,1183
mmu-miR-669a-3-3p,42,26,37,25
mmu-miR-668-5p,18,10,20,8
mmu-miR-668-3p,1167,1148,1438,1120
mmu-miR-667-5p,496,383,384,383
mmu-miR-667-3p,2547,2092,2702,2654
mmu-miR-666-5p,2156,1522,2319,1975
mmu-miR-666-3p,40,30,48,34
mmu-miR-665-5p,88,73,137,102
mmu-miR-665-3p,7205,5031,6281,5652
mmu-miR-664-5p,297,238,159,206
mmu-miR-664-3p,307,686,1110,840
mmu-miR-6546-5p,28,17,9,14
mmu-miR-6546-3p,10,13,9,6
mmu-miR-6540-5p,56,61,29,31
mmu-miR-6540-3p,12,8,8,6
mmu-miR-654-3p,0,3,0,0
mmu-miR-6539,323,214,166,122
mmu-miR-6538,2,3,2,3
mmu-miR-6537-5p,0,0,0,0
mmu-miR-6537-3p,0,0,0,1
mmu-miR-653-5p,4,1,0,2
mmu-miR-653-3p,1,0,0,0
mmu-miR-652-5p,146,89,156,131
mmu-miR-652-3p,2151,2065,1911,1893
mmu-miR-6516-5p,142,136,131,112
mmu-miR-6516-3p,18,19,9,10
mmu-miR-6481,1,1,0,0
mmu-miR-6418-5p,0,0,0,0
mmu-miR-6418-3p,0,1,0,1
mmu-miR-6412,8,10,8,8
mmu-miR-6399,9,11,6,4
mmu-miR-6395,2,0,1,2
mmu-miR-6392-5p,0,1,0,0
mmu-miR-6390,0,0,0,0
mmu-miR-6380,0,1,1,0
mmu-miR-6240,32,17,123,42
mmu-miR-615-5p,2,0,0,0
mmu-miR-615-3p,49,17,50,40
mmu-miR-598-5p,0,0,0,1
mmu-miR-598-3p,333,710,1467,705
mmu-miR-592-5p,47,51,33,21
mmu-miR-592-3p,5,3,1,2
mmu-miR-582-5p,110,92,83,91
mmu-miR-582-3p,116,114,137,96
mmu-miR-574-5p,1625,4247,7495,3543
mmu-miR-574-3p,15612,14468,23878,20460
mmu-miR-5710,0,0,1,0
mmu-miR-5709-5p,10,18,6,7
mmu-miR-5709-3p,0,3,1,0
mmu-miR-5627-5p,10,3,7,7
mmu-miR-5627-3p,1,0,1,0
mmu-miR-5626-5p,2,1,2,0
mmu-miR-5626-3p,15,8,7,5
mmu-miR-5625-3p,5,0,0,0
mmu-miR-5624-5p,3,2,5,2
mmu-miR-5624-3p,0,1,3,0
mmu-miR-5623-5p,0,4,2,2
mmu-miR-5622-5p,3,4,3,8
mmu-miR-5622-3p,1,0,2,1
mmu-miR-5621-5p,1,1,3,2
mmu-miR-5621-3p,6,12,4,3
mmu-miR-5620-5p,7,8,4,3
mmu-miR-5620-3p,9,4,9,4
mmu-miR-5619-5p,0,0,0,0
mmu-miR-5619-3p,4,1,7,2
mmu-miR-5618-5p,0,0,1,0
mmu-miR-5617-5p,2,2,0,1
mmu-miR-5616-5p,0,2,2,1
mmu-miR-5616-3p,1,2,3,3
mmu-miR-5615-5p,9,3,6,7
mmu-miR-5615-3p,1,3,1,1
mmu-miR-551b-3p,0,2,1,0
mmu-miR-547-5p,0,0,2,1
mmu-miR-547-3p,0,3,2,5
mmu-miR-546,0,0,0,1
mmu-miR-544-5p,12,23,45,19
mmu-miR-544-3p,21,19,32,25
mmu-miR-543-5p,94,134,210,133
mmu-miR-543-3p,4938,7973,9048,6058
mmu-miR-542-5p,195,200,218,154
mmu-miR-542-3p,6613,7999,22621,10670
mmu-miR-541-5p,62513,69575,125787,84373
mmu-miR-541-3p,652,543,1111,852
mmu-miR-540-5p,6267,4089,9070,7652
mmu-miR-540-3p,5168,3292,4875,4488
mmu-miR-539-5p,120,244,327,159
mmu-miR-539-3p,53,81,237,127
mmu-miR-532-5p,12882,9535,11636,10189
mmu-miR-532-3p,1162,857,1308,1354
mmu-miR-5136,0,1,0,0
mmu-miR-5135,0,0,2,0
mmu-miR-5134-5p,28,25,24,15
mmu-miR-5134-3p,6,3,3,5
mmu-miR-5133,0,1,0,0
mmu-miR-5132-5p,14,11,10,20
mmu-miR-5132-3p,1,0,1,1
mmu-miR-5130,6,3,3,4
mmu-miR-5129-5p,9,7,4,13
mmu-miR-5129-3p,11,12,9,3
mmu-miR-5128,41,29,13,16
mmu-miR-5126,13,16,34,31
mmu-miR-5125,5,20,10,15
mmu-miR-5124b,0,0,3,0
mmu-miR-5123,26,25,39,33
mmu-miR-5122,20,10,9,7
mmu-miR-5121,84,71,174,102
mmu-miR-5120,0,0,0,0
mmu-miR-5119,0,1,3,0
mmu-miR-5116,3,5,23,22
mmu-miR-5114,1,0,64,59
mmu-miR-5113,15,31,42,33
